district,chiefdom,phu,facility_type,community,population_2023,dp_name,dp_type
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Kwalema,322,Blamawo MCHP,Fixed
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Mogbuama,317,Kanjalu Court Barray,Outreach
Bo District,Baoma Chiefdom,Blamawo MCHP,MCHP,Taninahun,271,Blamawo MCHP,Fixed
Bo District,Baoma Chiefdom,Faabu CHP,CHP,Faabu,653,Faabu CHP,Fixed
Bo District,Baoma Chiefdom,Faabu CHP,CHP,Fayama,783,Faabu CHP,Fixed
Bo District,Baoma Chiefdom,Faabu CHP,CHP,Gangama,212,Gangama Courtbarry,Outreach
Bo District,Baoma Chiefdom,Faabu CHP,CHP,Gualla,703,Gangama Courtbarry,Outreach
Bo District,Baoma Chiefdom,Faabu CHP,CHP,Kortumahun,383,Faabu CHP,Fixed
Bo District,Baoma Chiefdom,Foindu (Baoma) MCHP,MCHP,Foindu,1312,Foindu MCHP,Fixed
Bo District,Baoma Chiefdom,Foindu (Baoma) MCHP,MCHP,Gbuyama,738,Foindu MCHP,Fixed
Bo District,Baoma Chiefdom,Foindu (Baoma) MCHP,MCHP,Ndema,779,Foindu MCHP,Fixed
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Gbahama,786,Gbahama CHP,Fixed
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Gbahun,419,Gbahama CHP,Fixed
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Hagbahun,238,Kpatema Court Barry,Outreach
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Jorbohun,471,Gbahama CHP,Fixed
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Komende,538,Kpatema Court Barry,Outreach
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Kpatema,629,Kpatema Court Barry,Outreach
Bo District,Baoma Chiefdom,Gbahama (Baoma) CHP,CHP,Kponima,398,Gbahama CHP,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Bagorma,127,Kwellu Court Barry,Outreach
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Gbaiima,290,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Gerehun CHC,2715,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Gogoima,48,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Gondoma,520,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Kplorya,183,Gerehun CHC,Fixed
Bo District,Baoma Chiefdom,Gerehun CHC,CHC,Kwellu,664,Kwellu Court Barry,Outreach
