district,chiefdom,phu,facility_type,community,population_2023,dp_name,dp_type
Bo District,Bongor Chiefdom,Lowoma (Bongor) MCHP,MCHP,Yabaima,1060,Lowuma MCHP,Fixed
Bo District,Bongor Chiefdom,Mamboma (Bongor) CHC,CHC,Bandaru,10,Mamboma CHP,Fixed
Bo District,Bongor Chiefdom,Mamboma (Bongor) CHC,CHC,Dambala,210,Dambala TBA House,Mobile
Bo District,Bongor Chiefdom,Mamboma (Bongor) CHC,CHC,Foya,36,Mamboma CHP,Fixed
Bo District,Bongor Chiefdom,Mamboma (Bongor) CHC,CHC,Kponima,850,Kponima Court Barray,Outreach
Bo District,Bongor Chiefdom,Mamboma (Bongor) CHC,CHC,Mamboma,3272,Mamboma CHP,Fixed
Bo District,Bongor Chiefdom,Telu CHC,CHC,Baomahun1,706,Telu CHC,Fixed
Bo District,Bongor Chiefdom,Telu CHC,CHC,Baomahun2,411,Baomahun Court Barry,Outreach
Bo District,Bongor Chiefdom,Telu CHC,CHC,Faama,86,Baomahun Court Barry,Outreach
Bo District,Bongor Chiefdom,Telu CHC,CHC,Gangama,291,Telu CHC,Fixed
Bo District,Bongor Chiefdom,Telu CHC,CHC,Gboworhun,22,Baomahun Court Barry,Outreach
Bo District,Bongor Chiefdom,Telu CHC,CHC,Kpoyama,232,Telu CHC,Fixed
Bo District,Bongor Chiefdom,Telu CHC,CHC,Mbahun,98,Telu CHC,Fixed
Bo District,Bongor Chiefdom,Telu CHC,CHC,Mendekelema,1258,Telu CHC,Fixed
Bo District,Bongor Chiefdom,Telu CHC,CHC,Talia,110,Telu CHC,Fixed
Bo District,Bongor Chiefdom,Telu CHC,CHC,Telu Town,1467,Telu CHC,Fixed
Bo District,Bongor Chiefdom,Telu CHC,CHC,Walihun,1909,Baomahun Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Bongor (Bumpe Ngao) MCHP,MCHP,Bongor,1200,Bongor MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Bongor (Bumpe Ngao) MCHP,MCHP,Mbelebu,271,Bongor MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Bongor (Bumpe Ngao) MCHP,MCHP,Moyoru,300,Bongor MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Buma MCHP,MCHP,Buma,1945,Buma MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Buma MCHP,MCHP,Buma Njagor,210,Buma Njagor Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Buma MCHP,MCHP,Magiema,349,Buma MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Buma MCHP,MCHP,Momende,340,Buma MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Buma MCHP,MCHP,Nguabu,413,Buma MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Bajao,90,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Banda Foya,132,Foya Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Baoma,110,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Bellor,100,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Bumpeh,1577,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Dassamu,177,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Fanima,73,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Fewanema,66,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Foya,828,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Gabon,66,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Gbenenga,105,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Hanga,100,Foya Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Kawaya,84,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Konnie,97,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Kortumahun,100,Foya Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Kowama Bondorboma,96,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Kowama Nenbuima,129,Foya Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Leuvma,59,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mamboma,77,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mogongoi,45,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mokowu 1,142,Foya Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mokowu 2,125,Foya Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mongenda,46,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mongla,137,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Motoima,86,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Mowoso,79,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Ngiebu,71,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Ngiegboiya,105,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Ngieya 4,124,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Ngieya Fillie,121,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Nguabu,67,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Nguala,135,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Ngukpebu,52,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Njagboima,107,Foya Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Njaluahun,100,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Pujehun,98,Foya Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Salina,92,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Semabu Benya,136,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Semabu Folobu,250,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Sembehun Junction,505,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Simbekihun,42,Foya Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Solima,122,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Voima,102,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Vulahun,124,Semabu Folobu Secondary Sch,Mobile
Bo District,Bumpe Ngao Chiefdom,Bumpe CHC,CHC,Waima,100,Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Baawomahun,210,Baawomahun Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Bamba,150,Kagbiama MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Bumpewo,200,Kagbiama MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Fouwama,140,Kagbiama MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Gandorhun,140,Kagbiama MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Kagbiama,350,Kagbiama MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Kpetewoma,150,Baawomahun Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Mohasema,30,Kagbiama MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Mohinda,38,Baawomahun Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Mokemeh,120,Baawomahun Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Mokolo,120,Baawomahun Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Momokanneh Junction,130,Kagbiama MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Nyadahun,200,Baawomahun Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kabiyama MCHP,MCHP,Timidi,130,Baawomahun Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Baka,149,Ngandema Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Juhun,218,Mofwe Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Kaninya,600,Kaninya MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Madinawo,150,Mofwe Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Mofwe,560,Mofwe Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Mogbevo,269,Ngandema Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Mowoto 2,400,Kaninya MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Mowoto- Titima,340,Kaninya MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Ngalahun,49,Ngandema Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Njedema,293,Ngandema Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Nyandehun,50,Kaninya MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kaniya MCHP,MCHP,Tissana,400,Mofwe Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Ballehun,290,Balehun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Dandabu,80,Kpetema CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Hasting,22,Balehun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Hotawuloma,162,Kpetema CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Jewenga,50,Balehun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Kpandemie,105,Kpetema CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Kpejebu,26,Kpetema CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Kpetema,1907,Kpetema CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Manavulahun,38,Kpetema CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Mongere,186,Kpetema CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Ngiyehunsongay,100,Kpetema CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Niagorehun Sombie,350,Balehun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,CHP,Sembehun Batayama,15,Kpetema CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Bambuibu,114,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Gendema,210,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Gordie,84,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Hangha,473,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Hotawulomie,98,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Kpatema,108,Ngieyegboiya Primary Sch,Outreach
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Kpetewoma,357,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Majehun,212,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Makayoni,515,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Masahun,130,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Matagelema,217,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Mokombay,227,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Mokpendeh,80,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Momado,206,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Ngangema,106,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Ngiegboya,352,Ngieyegboiya Primary Sch,Outreach
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Pelewahun,80,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Sembehun Dowo,255,Ngieyegboiya Primary Sch,Outreach
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Toebu 1,353,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Makayonie MCHP,MCHP,Toebu 2,110,Makayoni MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Faikundor,68,Yonnie Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Kotumahun,60,Mokoba MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Makandama,46,Yonnie Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Mokoba,2355,Mokoba MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Mokoba Old Town,1010,Yonnie Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Mokondor Vulahun,46,Mokoba MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Ndorhun,66,Mokoba MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Voima,90,Yonnie Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Mokoba MCHP,MCHP,Yonnie,1406,Yonnie Court Barry,Outreach
Bo District,Bumpe Ngao Chiefdom,Mokpende MCHP,MCHP,Kamasu,245,Kamasu Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Mokpende MCHP,MCHP,Mokpende,1500,Mokpende MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Mokpende MCHP,MCHP,Nyandehun,105,Kamasu Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Mokpende MCHP,MCHP,Walihun,205,Mokpende MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Mokpende MCHP,MCHP,Yengemawo,410,Mokpende MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Banda,198,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Bangalu,65,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Benduma 1,108,Torpkombu Court Barray,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Benduma 2,65,Torpkombu Court Barray,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Camaroun,80,Camaroun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Congo,86,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Gbahama,128,Camaroun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Gbangba,198,Torpkombu Court Barray,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Gieyah,65,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Gogoima,220,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Gondama,292,Camaroun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Jaiyahun Teyama,205,Torpkombu Court Barray,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Lawana,70,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Manowo,122,Camaroun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Missila,204,Torpkombu Court Barray,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Mobimbe,44,Torpkombu Court Barray,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Mofindor,27,Camaroun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Moforay,180,Torpkombu Court Barray,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Moguma,48,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Nduvuibu,204,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Ngelehun,20,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Ngolahun,875,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Njagbema,171,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Nyagorehun,184,Torpkombu Court Barray,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Patama,66,Camaroun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Pelewahun,86,Torpkombu Court Barray,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Senehun,216,Ngolahun CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Torkporgoma,46,Camaroun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Torkpumbu,236,Torpkombu Court Barray,Mobile
Bo District,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,CHC,Waterloo,91,Camaroun Court Barry,Mobile
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Baoya,30,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Fullawahun,130,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Funkia,40,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Gbeworbu,33,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Gbongema,300,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Hanga,170,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Kowamanebuima,355,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Ngiya Bondo,40,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Ngiya Jakie,55,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Niagorehun Vakie,500,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Pelewahn Kpengbewulay,190,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Pujehun,30,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Semabu,38,Niagorehun Vakie MCHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Banda Sahn,150,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Bandajuma,52,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Gendama,200,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Gondama,51,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Karpuma,31,Semabu Gbato,Mobile
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Manoma,32,Semabu Gbato,Mobile
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Mowoto Wayiebu,200,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Nengbema,150,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Njorbohun,200,Semabu Gbato,Mobile
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Sahn,1500,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Sahn Juncction,100,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Semabu Gbato,418,Semabu Gbato,Mobile
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Semabu Junction.,32,Semabu Gbato,Mobile
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Sembehun,127,Semabu Gbato,Mobile
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Tablahun,324,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Tokpumbu,62,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Victoria,58,Sahn Bumpeh CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Blama Banie,150,Nyorlema,Outreach
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Dodo,130,Kpanguma Primary Sch,Outreach
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Jomborhun,100,Nyorlema,Outreach
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Kpanguma,107,Kpanguma Primary Sch,Outreach
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Massao,200,Serabu CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Mokibie,200,Kpanguma Primary Sch,Outreach
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Motimo,120,Nyorlema,Outreach
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Ndupubu,250,Serabu CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Netiwo,95,Kpanguma Primary Sch,Outreach
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Niagorehun,150,Kpanguma Primary Sch,Outreach
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Njanema,100,Kpanguma Primary Sch,Outreach
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Nyorlema,500,Nyorlema,Outreach
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Sengema,330,Serabu CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Serabu,3100,Serabu CHC,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Bandaya,30,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Baoma,30,Taninahun CHP,Fixed
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Dodo,45,Taninahun CHP,Fixed
