district,chiefdom,phu,facility_type,community,population_2023
Bo District,Baoma Chiefdom,Pelewahun (Baoma) MCHP,MCHP,Pelewahun,1331
Bo District,Baoma Chiefdom,Pelewahun (Baoma) MCHP,MCHP,Tongiama,509
Bo District,Baoma Chiefdom,Pelewahun (Baoma) MCHP,MCHP,Taninahun,1025
Bo District,Baoma Chiefdom,Pelewahun (Baoma) MCHP,MCHP,Gbinima,278
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Tungbebu,667
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Feikundor,207
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Kpatobu,544
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Sandia,380
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Niama,592
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Semibu,214
Bo District,Baoma Chiefdom,Tugbebu CHP,CHP,Gboyeiya,545
Bo District,Baoma Chiefdom,Yakaji MCHP,MCHP,Yakaji,1598
Bo District,Baoma Chiefdom,Yakaji MCHP,MCHP,Pelewahun,641
Bo District,Baoma Chiefdom,Yakaji MCHP,MCHP,Juhun,1718
Bo District,Baoma Chiefdom,Yakaji MCHP,MCHP,Matema,727
Bo District,Baoma Chiefdom,Yakaji MCHP,MCHP,Gbangba,492
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Yamandu 1,1705
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Yamandu 2,1130
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Yamandu 3,1795
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Ndogbogoma,513
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Yamandu 4,1577
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Sengama,65
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Kpumbu,588
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Manowa,299
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Vaahun,239
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Kortumahun,410
Bo District,Baoma Chiefdom,Yamandu CHC,CHC,Njaluahun,220
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Bum-Kaku,550
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Gballeh,430
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Torkpumbu2,98
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Kenema,62
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Gbatorma,320
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Kponima,100
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Barleh,200
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Mosondo,100
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Mandu,230
Bo District,Bargbo Chiefdom,Bum Kaku MCHP,MCHP,Fakaba,100
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Kpangbalia village,756
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Senehun Somba,510
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Nyandehun,530
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Baoma,433
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Fabaina,152
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Mowonde,199
Bo District,Bargbo Chiefdom,Gbangbalia MCHP,MCHP,Morgbain,186
Bo District,Bargbo Chiefdom,Jimmi CHC,CHC,Jimmi town,2397
Bo District,Bargbo Chiefdom,Jimmi CHC,CHC,Waiima Village,102
Bo District,Bargbo Chiefdom,Jimmi CHC,CHC,Mattru village,653
Bo District,Bargbo Chiefdom,Kakama MCHP,MCHP,Kakama,1433
Bo District,Bargbo Chiefdom,Kakama MCHP,MCHP,Gibina,400
Bo District,Bargbo Chiefdom,Kakama MCHP,MCHP,Kpawama,1500
Bo District,Bargbo Chiefdom,Kakama MCHP,MCHP,Gordie,300
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Kasse,396
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Yeashan,298
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Bumpewo,290
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Mogbom,298
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Mokoba,297
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Deima,298
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Ngolapon,250
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Mohapewa,285
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Njala,50
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Lagowo,296
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Lagowa,296
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Gbenya,294
Bo District,Bargbo Chiefdom,Kasse MCHP,MCHP,Panguma,17
Bo District,Bargbo Chiefdom,Limba CHP,CHP,,
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Mano- Yorgbo,1094
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Mano Old,508
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Mondorkor,820
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Torkpumbu,125
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Dandabu,516
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Njagbema,128
Bo District,Bargbo Chiefdom,Mano Yorgbo MCHP,MCHP,Semabu,185
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Momajo,459
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Mojeima,432
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Manibo,201
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Mailiewa,432
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Tissana Junction,128
Bo District,Bargbo Chiefdom,Momajo CHP,CHP,Tissana Old town,457
