district,chiefdom,phu,facility_type,community,population_2023
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Pelewahn Kpengbewulay,190
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Ngiya Jakie,55
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Ngiya Bondo,40
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Baoya,30
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Semabu,38
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Funkia,40
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Fullawahun,130
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Gbeworbu,33
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,kowamanebuima,355
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Pujehun,30
Bo District,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,MCHP,Gbongema,300
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Sahn,1500
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Tablahun,324
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Banda Sahn,150
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Sahn Juncction,100
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Victoria,58
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Nengbema,150
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Tokpumbu,62
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Mowoto Wayiebu,200
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Gendama,200
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Bandajuma,52
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Gondama,51
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Semabu Gbato,418
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Njorbohun,200
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Manoma,32
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Sembehun,127
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Karpuma,31
Bo District,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,CHP,Semabu Junction.,32
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Serabu,3100
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Sengema,330
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Ndupubu,250
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Massao,200
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Kpanguma,107
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Mokibie,200
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Njanema,100
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Dodo,130
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Netiwo,95
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Niagorehun,150
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Nyorlema,500
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Motimo,120
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Jomborhun,100
Bo District,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,CHC,Blama Banie,150
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Taninahun,900
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Molunya,350
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Jeneh,90
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Dodo,45
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Nagbena,250
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Bandaya,30
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Baoma,30
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Nagbena Junction,15
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Njala,50
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Njagbema,20
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mogbonda,25
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Motoko,40
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mongegbindi,95
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Gendema,90
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Sembehun,80
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Patama 2,50
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Gbangema,80
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mokambo,120
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Njagbahun,50
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mongagba,80
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mogiba,100
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Mongabay,40
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Macca,80
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Moryoi,70
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Pelewahun,300
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Fulaninahun,90
Bo District,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,CHP,Kpakpabu,30
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Walihun,1754
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Farbu,130
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Gbardo,122
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Jimiminga,230
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Manjama,93
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Tongie,168
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Sahun,60
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Bondayelahun,315
Bo District,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,MCHP,Lungi,130
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Yengema,2313
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Njorborhun,189
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Ngeyahun,229
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Kanga,500
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Morjajoe,285
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Sembehun,89
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Komende,196
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Kowama,800
Bo District,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,MCHP,Madina,244
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Gbaiima Town,1425
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Hiima,200
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Bessibu,150
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Gangama,40
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Gbaborwobu,75
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Kossa,70
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Benduma,150
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Gbandi,600
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Molambi,60
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Foya 1,50
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Sembekhun,45
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Talia,69
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Barlu,70
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Pelewahun,59
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Isreal,45
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Ngolala,150
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Foya 2,71
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Niagorehun,110
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Dodo,300
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Mogbesie,230
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Fagorya,45
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Majihun,150
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Senehun,110
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Batiama,80
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Massahun,75
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Molendeh,250
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Mokebbie,225
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Kortumahun Marvie,150
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Borborbu,160
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Mosua,90
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Pujehun,105
Bo District,Gbo Chiefdom,Gbaiima CHC,CHC,Kortumahun Kalenkay,100
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Sembehun Mamagewor,655
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Bajawo,325
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Kakama,95
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Njabormie,340
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Motimoh,52
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Gbanguma,76
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Nargbena,141
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Manjama,145
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Ngoyiahun,150
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Niagorehun,82
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Balehun,91
Bo District,Gbo Chiefdom,Sembehun Mamagewoh CHC,CHC,Bongeya,192
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Koribondo town,4620
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Lungi,346
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Kandor,2305
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Bendu,1520
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Buma,531
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Kpakuma,428
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Fulawahun,511
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Foyama,312
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Vaama,98
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Largor,315
Bo District,Jaiama Chiefdom,Koribondo CHC,CHC,Kpulimie,335
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Mano Jaiama,469
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Gbangiema,448
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Folu,364
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Kpetema,588
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Meyama,436
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Kiambay,109
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Jomborhun,1489
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Blamawui,304
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Sogorma,668
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Kpomima-Jaiama,899
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Ngbeyama,98
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Bakar,244
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Ngombu,411
Bo District,Jaiama Chiefdom,Mano-Jaiama CHP,CHP,Mile 30,234
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Nianyahun,450
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Pelewahun,480
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Samie,500
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Yendema,447
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Gbaima,15
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Yenkain,225
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Juhun,445
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Nyeyama,305
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Manowo,36
Bo District,Jaiama Chiefdom,Niayahun CHP,CHP,Ndombu,437
Bo District,Kakua Chiefdom,Bandajuma MCHP,MCHP,,
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Fengehun,1500
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Baoma Lungibu,600
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Kigbai,520
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Njaluahun,150
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Torkpombu,350
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Pouma,150
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Fallu,1600
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,kpon,250
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Kalia 1,170
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Kalia 2,400
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Kpetewoma,150
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Surgehun,600
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Gbumbeh,550
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Njagbema,300
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Koyama,150
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Miselah,50
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Wojama,55
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Bamabara,45
Bo District,Kakua Chiefdom,Fengehun MCHP,MCHP,Ngiehun,100
Bo District,Kakua Chiefdom,Fullawahun MCHP,MCHP,,
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Gbongbohun,1250
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Faala,800
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Massahun,430
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Damboima,250
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Largor,600
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Kowama,250
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Sumbaya,480
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Isreal,100
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Kuagebu,350
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Ngombeh,230
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Ngivulahun,250
Bo District,Kakua Chiefdom,Gbongboma MCHP,MCHP,Ngiewoma,38
Bo District,Kakua Chiefdom,Gender CHP,CHP,,
Bo District,Kakua Chiefdom,Keindeyella MCHP,MCHP,,
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Maguama,1172
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Kpatema,502
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Gbanahun,276
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Fallah,241
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Mokasse,213
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Gibina,476
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Nyamaina 1,205
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Nyamaina2,106
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Nyamaina 3,118
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Kenyema 1,163
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Kenyema 2,114
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Kenyema 3,116
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Vengema 3,103
Bo District,Kakua Chiefdom,Maguama CHP,CHP,Fabaina,133
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Manjama,500
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Bayama,200
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Pendegumahun,907
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Mbaoma,95
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Fullawahun,1800
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,kpetema,716
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,patama,200
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Vaama,305
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Walihun,210
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Kumbablahun,325
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Gandohun,404
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Levuma,300
Bo District,Kakua Chiefdom,Manjiama CHC,CHC,Gbanahun,1300
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Niagorehun 1,1100
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Sheriff town,1200
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Niagorehun 2,1300
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Fonnie Town,1120
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Kanga,390
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Railway Line,200
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Giema,300
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Dandabu,350
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Kpawula,313
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Nyanda town,349
Bo District,Kakua Chiefdom,Massah Memorial Maternity MCHP,MCHP,Back of Staduim,153
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Falaba,700
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Gbeworbu,600
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Kebbie town,2040
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Gbongboma,500
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Part of Jorma 2,400
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,jorma1,600
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Manihun,300
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Lumbebu,500
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Mbeima,250
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Geoma 2  Section,1385
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Komendeh,1203
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Mbema,800
Bo District,Kakua Chiefdom,Ndegbomie MCHP,MCHP,Sembekeh,652
Bo District,Kakua Chiefdom,Nduvuibu MCHP,MCHP,,
Bo District,Kakua Chiefdom,United Methodist Church Manjama CHC,CHC,,
Bo District,Kakua Chiefdom,Veronical MCHP,MCHP,,
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Gumahun,520
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Banyamahun,250
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Korkortie,260
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Manyama,119
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Foya,112
Bo District,Komboya Chiefdom,Gumahun MCHP,MCHP,Poyama,206
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Komboya Gbauja,599
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Semabu,250
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Ngiewabu,200
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Gbeworbu,249
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Bendu,150
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Bendellu,400
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Fullawahun,151
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Keinjama,123
Bo District,Komboya Chiefdom,Komboya Gbauja MCHP,MCHP,Yendehun,670
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Kpamajama,360
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Songaru,160
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Norgonba,63
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Sengbehun,189
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Foindu,50
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Mageibu,200
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Keituma,84
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Nduya,150
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Ngulubu,30
Bo District,Komboya Chiefdom,Kpamajama MCHP,MCHP,Logbana,35
Bo District,Komboya Chiefdom,Mano (Komboya) MCHP,MCHP,,
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Niagorehun (Komboya),833
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Gbaama,279
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Ngeikohun,269
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Njawor,405
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Kundorma,527
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Pelewahun,260
Bo District,Komboya Chiefdom,Niagorehun (Komboya) MCHP,MCHP,Bandujuma,134
Bo District,Komboya Chiefdom,Njala (Komboya) CHC,CHC,Njala 1,1697
Bo District,Komboya Chiefdom,Njala (Komboya) CHC,CHC,Njala 2,893
Bo District,Komboya Chiefdom,Njala (Komboya) CHC,CHC,Pelewahun,559
Bo District,Komboya Chiefdom,Njala (Komboya) CHC,CHC,Semabu 1,789
Bo District,Komboya Chiefdom,Njala (Komboya) CHC,CHC,Gbanama,443
Bo District,Komboya Chiefdom,Njala (Komboya) CHC,CHC,Kobondala,579
Bo District,Komboya Chiefdom,Njala (Komboya) CHC,CHC,Niagorehun,739
Bo District,Komboya Chiefdom,Njala (Komboya) CHC,CHC,Talia,580
Bo District,Komboya Chiefdom,Njala (Komboya) CHC,CHC,Gbitima,414
Bo District,Komboya Chiefdom,Teibor CHP,CHP,Teibor,505
Bo District,Komboya Chiefdom,Teibor CHP,CHP,Bauya,540
Bo District,Komboya Chiefdom,Teibor CHP,CHP,Yengema,183
Bo District,Komboya Chiefdom,Teibor CHP,CHP,Kpawuma,205
Bo District,Komboya Chiefdom,Teibor CHP,CHP,Baomahun,275
Bo District,Komboya Chiefdom,Teibor CHP,CHP,Mano,450
Bo District,Komboya Chiefdom,Teibor CHP,CHP,Lowuma,471
Bo District,Komboya Chiefdom,Teibor CHP,CHP,Kenyema,145
Bo District,Komboya Chiefdom,Teibor CHP,CHP,Talia,225
Bo District,Lugbu Chiefdom,Bontiwo MCHP,MCHP,Bontiwo,673
Bo District,Lugbu Chiefdom,Bontiwo MCHP,MCHP,Vaahun,493
Bo District,Lugbu Chiefdom,Bontiwo MCHP,MCHP,Kuadima,580
Bo District,Lugbu Chiefdom,Bontiwo MCHP,MCHP,Faama,675
Bo District,Lugbu Chiefdom,Bontiwo MCHP,MCHP,Bondayeihun,139
Bo District,Lugbu Chiefdom,Bontiwo MCHP,MCHP,Kitorma,232
Bo District,Lugbu Chiefdom,Feiba CHP,CHP,Feiba,1500
Bo District,Lugbu Chiefdom,Feiba CHP,CHP,Buma,200
Bo District,Lugbu Chiefdom,Feiba CHP,CHP,Beipie,103
Bo District,Lugbu Chiefdom,Feiba CHP,CHP,Gelehun,500
Bo District,Lugbu Chiefdom,Feiba CHP,CHP,Gbaluhun,79
Bo District,Lugbu Chiefdom,Hima MCHP,MCHP,Heima,550
Bo District,Lugbu Chiefdom,Hima MCHP,MCHP,Benduma-Sewa,358
Bo District,Lugbu Chiefdom,Hima MCHP,MCHP,Tongia,240
Bo District,Lugbu Chiefdom,Hima MCHP,MCHP,Gbamahun,255
